Frame X Y
0 NaN NaN
1 NaN NaN
2 NaN NaN
3 NaN NaN
4 NaN NaN
5 NaN NaN
6 NaN NaN
7 NaN NaN
8 NaN NaN
9 NaN NaN
10 NaN NaN
11 NaN NaN
12 NaN NaN
13 NaN NaN
14 NaN NaN
15 NaN NaN
16 NaN NaN
17 NaN NaN
18 NaN NaN
19 NaN NaN
20 NaN NaN
21 NaN NaN
22 NaN NaN
23 NaN NaN
24 NaN NaN
25 NaN NaN
26 NaN NaN
27 NaN NaN
28 NaN NaN
29 NaN NaN
30 NaN NaN
31 NaN NaN
32 NaN NaN
33 NaN NaN
34 NaN NaN
35 NaN NaN
36 NaN NaN
37 NaN NaN
38 NaN NaN
39 NaN NaN
40 NaN NaN
41 NaN NaN
42 NaN NaN
43 NaN NaN
44 NaN NaN
45 NaN NaN
46 NaN NaN
47 NaN NaN
48 NaN NaN
49 NaN NaN
50 NaN NaN
51 NaN NaN
52 NaN NaN
53 NaN NaN
54 NaN NaN
55 NaN NaN
56 NaN NaN
57 NaN NaN
58 NaN NaN
59 NaN NaN
60 NaN NaN
61 NaN NaN
62 NaN NaN
63 NaN NaN
64 NaN NaN
65 NaN NaN
66 NaN NaN
67 NaN NaN
68 NaN NaN
69 NaN NaN
70 NaN NaN
71 NaN NaN
72 NaN NaN
73 NaN NaN
74 NaN NaN
75 NaN NaN
76 NaN NaN
77 NaN NaN
78 NaN NaN
79 NaN NaN
80 NaN NaN
81 NaN NaN
82 NaN NaN
83 NaN NaN
84 NaN NaN
85 NaN NaN
86 NaN NaN
87 NaN NaN
88 NaN NaN
89 NaN NaN
90 NaN NaN
91 NaN NaN
92 NaN NaN
93 NaN NaN
94 NaN NaN
95 NaN NaN
96 NaN NaN
97 NaN NaN
98 NaN NaN
99 NaN NaN
100 NaN NaN
101 NaN NaN
102 NaN NaN
103 NaN NaN
104 NaN NaN
105 NaN NaN
106 NaN NaN
107 NaN NaN
108 NaN NaN
109 NaN NaN
110 NaN NaN
111 NaN NaN
112 NaN NaN
113 NaN NaN
114 NaN NaN
115 NaN NaN
116 NaN NaN
117 129.84 198.02
118 NaN NaN
119 262.83 198.02
120 262.83 163.44
121 249.50 159.41
122 249.50 125.17
123 NaN NaN
124 NaN NaN
125 179.18 138.16
126 174.25 137.12
127 172.60 138.16
128 172.60 139.52
129 171.40 139.58
130 167.84 142.93
131 NaN NaN
132 NaN NaN
133 NaN NaN
134 NaN NaN
135 159.09 160.56
136 159.09 160.01
137 156.21 159.17
138 156.02 160.01
139 155.59 160.74
140 NaN NaN
141 NaN NaN
142 NaN NaN
143 NaN NaN
144 NaN NaN
145 161.42 167.71
146 161.48 167.89
147 161.48 167.92
148 161.48 167.92
149 161.48 168.15
150 161.48 168.50
151 161.14 168.56
152 161.13 168.61
153 160.06 168.61
154 160.06 168.75
155 160.06 168.75
156 160.42 169.08
157 162.24 169.08
158 163.64 169.08
159 164.93 169.08
160 166.92 169.08
161 170.55 168.90
162 174.22 168.90
163 178.80 168.41
164 181.04 168.31
165 185.15 167.73
166 188.84 167.69
167 193.09 167.12
168 197.43 167.12
169 201.79 167.12
170 205.99 167.85
171 209.80 169.52
172 212.94 169.56
173 212.96 169.63
174 216.77 169.72
175 221.45 169.72
176 226.03 169.72
177 228.36 168.36
178 233.11 166.33
179 237.05 164.62
180 239.44 163.41
181 241.25 163.41
182 241.99 163.41
183 242.88 163.78
184 243.17 164.15
185 243.35 164.44
186 243.47 164.44
187 244.22 164.44
188 245.13 164.12
189 246.36 162.25
190 246.98 159.57
191 248.43 156.95
192 248.70 153.71
193 248.70 150.74
194 248.70 145.77
195 248.27 140.11
196 248.22 138.02
197 247.71 135.68
198 247.71 133.38
199 247.71 132.86
200 249.76 131.79
201 250.78 131.79
202 251.34 131.79
203 251.34 131.82
204 251.34 132.01
205 251.28 132.01
206 251.28 132.08
207 251.28 132.08
208 251.40 132.27
209 251.40 132.29
210 251.42 132.30
211 251.46 132.40
212 251.54 132.59
213 251.55 132.66
214 251.64 132.82
215 251.64 132.90
216 251.54 132.90
217 251.52 132.92
218 251.39 132.92
219 251.26 132.85
220 250.85 132.84
221 250.85 132.84
222 250.85 132.84
223 251.04 132.73
224 251.28 132.73
225 251.42 132.57
226 251.70 132.23
227 252.04 132.03
228 252.36 131.94
