Frame X Y
0 NaN NaN
1 NaN NaN
2 NaN NaN
3 NaN NaN
4 NaN NaN
5 NaN NaN
6 NaN NaN
7 NaN NaN
8 NaN NaN
9 NaN NaN
10 NaN NaN
11 NaN NaN
12 NaN NaN
13 NaN NaN
14 NaN NaN
15 NaN NaN
16 NaN NaN
17 NaN NaN
18 NaN NaN
19 NaN NaN
20 NaN NaN
21 NaN NaN
22 NaN NaN
23 NaN NaN
24 NaN NaN
25 NaN NaN
26 NaN NaN
27 NaN NaN
28 NaN NaN
29 NaN NaN
30 NaN NaN
31 NaN NaN
32 NaN NaN
33 NaN NaN
34 NaN NaN
35 NaN NaN
36 NaN NaN
37 NaN NaN
38 NaN NaN
39 NaN NaN
40 NaN NaN
41 NaN NaN
42 NaN NaN
43 NaN NaN
44 NaN NaN
45 NaN NaN
46 NaN NaN
47 NaN NaN
48 NaN NaN
49 NaN NaN
50 NaN NaN
51 NaN NaN
52 NaN NaN
53 NaN NaN
54 NaN NaN
55 NaN NaN
56 NaN NaN
57 NaN NaN
58 NaN NaN
59 NaN NaN
60 NaN NaN
61 NaN NaN
62 NaN NaN
63 NaN NaN
64 NaN NaN
65 NaN NaN
66 NaN NaN
67 NaN NaN
68 NaN NaN
69 NaN NaN
70 NaN NaN
71 NaN NaN
72 NaN NaN
73 NaN NaN
74 NaN NaN
75 NaN NaN
76 NaN NaN
77 NaN NaN
78 NaN NaN
79 NaN NaN
80 NaN NaN
81 NaN NaN
82 NaN NaN
83 NaN NaN
84 NaN NaN
85 NaN NaN
86 NaN NaN
87 NaN NaN
88 NaN NaN
89 NaN NaN
90 NaN NaN
91 NaN NaN
92 NaN NaN
93 NaN NaN
94 NaN NaN
95 NaN NaN
96 NaN NaN
97 NaN NaN
98 NaN NaN
99 NaN NaN
100 NaN NaN
101 NaN NaN
102 NaN NaN
103 NaN NaN
104 NaN NaN
105 NaN NaN
106 NaN NaN
107 NaN NaN
108 NaN NaN
109 NaN NaN
110 NaN NaN
111 NaN NaN
112 NaN NaN
113 NaN NaN
114 NaN NaN
115 NaN NaN
116 NaN NaN
117 NaN NaN
118 285.09 132.55
119 NaN NaN
120 285.09 132.55
121 285.09 113.88
122 218.30 113.76
123 216.34 113.56
124 210.56 113.56
125 NaN NaN
126 197.99 131.31
127 147.95 137.06
128 149.39 137.15
129 149.39 139.77
130 149.39 139.96
131 NaN NaN
132 NaN NaN
133 NaN NaN
134 NaN NaN
135 169.81 164.98
136 169.81 165.52
137 166.95 167.48
138 NaN NaN
139 166.95 167.48
140 NaN NaN
141 NaN NaN
142 NaN NaN
143 NaN NaN
144 NaN NaN
145 NaN NaN
146 162.85 190.44
147 162.85 190.56
148 161.62 190.70
149 160.47 190.70
150 158.50 190.80
151 158.50 190.87
152 158.50 190.87
153 160.74 190.87
154 165.10 190.80
155 172.52 189.40
156 180.45 185.04
157 185.10 181.25
158 189.73 177.57
159 192.84 174.33
160 194.76 173.52
161 201.48 170.69
162 207.35 167.77
163 211.12 164.18
164 214.42 163.34
165 219.76 162.94
166 224.87 162.57
167 229.44 162.44
168 232.91 162.32
169 235.47 162.18
170 240.92 161.67
171 246.07 160.38
172 247.75 160.37
173 247.77 160.32
174 250.29 160.17
175 256.74 159.81
176 259.53 158.74
177 262.01 158.35
178 267.82 158.22
179 271.68 158.10
180 272.71 158.06
181 272.82 158.06
182 274.08 156.31
183 275.21 155.25
184 275.21 154.49
185 275.21 153.34
186 272.94 149.23
187 270.03 146.37
188 265.59 140.78
189 260.94 135.86
190 257.90 132.03
191 254.18 126.81
192 251.13 122.34
193 247.34 118.33
194 244.61 113.61
195 241.50 108.96
196 237.64 107.70
197 235.65 107.70
198 233.92 107.70
199 233.64 108.25
200 233.53 109.63
201 233.53 111.18
202 233.31 111.96
203 232.49 112.33
204 232.03 112.58
205 231.00 113.01
206 230.49 113.13
207 230.31 113.29
208 230.09 114.41
209 229.04 115.13
210 228.79 115.23
211 228.74 115.27
212 228.36 115.53
213 228.33 115.53
214 228.33 115.53
215 228.18 115.53
216 228.08 115.53
217 227.98 115.58
218 227.77 115.58
219 227.77 115.58
220 227.77 115.10
221 228.21 113.54
222 228.62 112.79
223 230.13 112.17
224 232.77 111.19
225 233.59 110.11
226 233.67 109.35
227 233.99 108.46
228 234.93 107.71
229 235.05 107.01
