Frame X Y
0 NaN NaN
1 NaN NaN
2 NaN NaN
3 NaN NaN
4 NaN NaN
5 NaN NaN
6 NaN NaN
7 NaN NaN
8 NaN NaN
9 NaN NaN
10 NaN NaN
11 NaN NaN
12 NaN NaN
13 NaN NaN
14 NaN NaN
15 NaN NaN
16 NaN NaN
17 NaN NaN
18 NaN NaN
19 NaN NaN
20 NaN NaN
21 NaN NaN
22 NaN NaN
23 NaN NaN
24 NaN NaN
25 NaN NaN
26 NaN NaN
27 NaN NaN
28 NaN NaN
29 NaN NaN
30 NaN NaN
31 NaN NaN
32 NaN NaN
33 NaN NaN
34 NaN NaN
35 NaN NaN
36 NaN NaN
37 NaN NaN
38 NaN NaN
39 NaN NaN
40 NaN NaN
41 NaN NaN
42 NaN NaN
43 NaN NaN
44 NaN NaN
45 NaN NaN
46 NaN NaN
47 NaN NaN
48 NaN NaN
49 NaN NaN
50 NaN NaN
51 NaN NaN
52 NaN NaN
53 NaN NaN
54 NaN NaN
55 NaN NaN
56 NaN NaN
57 NaN NaN
58 NaN NaN
59 63.58 195.11
60 191.59 195.11
61 233.91 113.75
62 233.91 97.18
63 233.91 97.18
64 228.62 97.18
65 NaN NaN
66 NaN NaN
67 NaN NaN
68 151.01 149.13
69 NaN NaN
70 154.06 148.62
71 154.67 147.68
72 155.70 145.90
73 158.38 145.20
74 159.66 145.20
75 162.33 145.20
76 164.68 145.19
77 165.29 145.75
78 165.62 145.80
79 165.90 145.80
80 165.90 145.80
81 166.31 145.80
82 166.31 144.26
83 166.31 144.25
84 NaN NaN
85 NaN NaN
86 NaN NaN
87 NaN NaN
88 NaN NaN
89 NaN NaN
90 NaN NaN
91 160.40 158.91
92 160.17 161.00
93 160.33 161.73
94 160.25 162.01
95 160.21 162.44
96 160.21 162.55
97 160.21 162.55
98 159.89 162.55
99 159.89 162.52
100 159.89 161.62
101 160.08 161.22
102 161.02 161.21
103 161.08 160.65
104 161.08 160.52
105 161.02 160.14
106 159.68 159.86
107 157.70 159.03
108 157.28 158.87
109 157.18 158.52
110 156.73 157.99
111 155.48 157.81
112 152.79 157.50
113 149.30 157.35
114 148.11 156.37
115 147.08 155.30
116 144.96 154.42
117 142.58 153.51
118 139.97 153.09
119 137.42 151.67
120 134.23 151.67
121 131.77 151.09
122 128.72 151.09
123 125.73 151.09
124 124.11 151.29
125 123.21 151.55
126 123.18 151.55
127 123.05 151.55
128 122.40 151.12
129 121.96 149.76
130 121.79 148.86
131 120.94 147.60
132 118.62 145.20
133 117.45 143.71
134 116.15 143.39
135 115.17 142.79
136 113.53 142.55
137 112.11 142.51
138 111.04 141.81
139 109.64 141.00
140 108.94 140.03
141 108.04 139.21
142 106.28 137.85
143 103.03 136.34
144 100.45 134.93
145 98.99 133.48
146 96.48 131.78
147 94.64 128.42
148 93.01 125.83
149 91.15 123.19
150 89.76 121.01
151 87.52 118.86
152 87.02 117.04
153 85.23 115.47
154 83.71 113.61
155 81.65 111.08
156 79.16 108.38
157 78.03 104.79
158 78.03 100.39
159 78.03 93.92
160 79.68 89.22
161 79.70 84.53
162 79.70 78.26
163 79.70 73.78
164 79.92 69.18
165 80.90 63.79
166 80.90 57.84
167 82.64 55.98
168 84.55 52.27
169 85.33 49.59
170 85.48 46.74
171 85.77 44.91
172 85.77 44.51
173 85.77 44.46
174 85.22 44.27
175 84.78 44.27
176 84.30 44.14
177 83.96 44.14
178 83.96 44.14
179 83.96 43.96
180 84.70 42.81
181 85.99 42.19
182 86.79 40.63
183 89.21 39.13
184 91.70 39.00
185 94.96 38.82
186 99.32 38.82
187 103.49 39.00
188 107.17 39.00
189 111.64 38.82
190 117.44 37.85
191 120.26 37.78
192 125.84 36.35
193 130.98 35.57
194 137.33 35.57
195 143.16 35.57
196 147.24 36.44
197 153.91 37.47
198 158.69 39.32
199 164.20 41.00
200 168.36 41.22
201 171.02 41.97
202 175.33 41.98
203 177.26 41.98
204 178.59 41.98
205 178.72 41.98
206 178.84 41.98
207 178.86 42.00
208 179.21 42.00
209 179.54 42.09
210 180.12 42.20
211 180.37 42.20
212 181.37 42.27
213 183.62 42.61
214 186.20 42.97
215 188.33 43.10
216 190.73 43.83
217 193.46 43.83
218 195.91 43.83
219 199.44 43.63
220 202.57 42.99
221 204.46 41.85
222 206.73 41.26
