Frame X Y
0 NaN NaN
1 NaN NaN
2 NaN NaN
3 NaN NaN
4 NaN NaN
5 NaN NaN
6 NaN NaN
7 NaN NaN
8 NaN NaN
9 NaN NaN
10 NaN NaN
11 NaN NaN
12 NaN NaN
13 NaN NaN
14 NaN NaN
15 NaN NaN
16 NaN NaN
17 NaN NaN
18 NaN NaN
19 NaN NaN
20 NaN NaN
21 NaN NaN
22 NaN NaN
23 NaN NaN
24 NaN NaN
25 NaN NaN
26 NaN NaN
27 NaN NaN
28 NaN NaN
29 NaN NaN
30 NaN NaN
31 NaN NaN
32 NaN NaN
33 NaN NaN
34 NaN NaN
35 NaN NaN
36 NaN NaN
37 NaN NaN
38 NaN NaN
39 NaN NaN
40 NaN NaN
41 NaN NaN
42 NaN NaN
43 NaN NaN
44 NaN NaN
45 NaN NaN
46 NaN NaN
47 NaN NaN
48 NaN NaN
49 NaN NaN
50 NaN NaN
51 NaN NaN
52 NaN NaN
53 NaN NaN
54 NaN NaN
55 NaN NaN
56 NaN NaN
57 NaN NaN
58 NaN NaN
59 40.91 119.30
60 267.70 119.30
61 267.70 119.30
62 267.70 99.14
63 257.44 99.14
64 245.83 99.14
65 NaN NaN
66 NaN NaN
67 NaN NaN
68 NaN NaN
69 NaN NaN
70 135.64 153.71
71 136.86 153.48
72 137.92 153.21
73 141.96 150.47
74 143.94 147.98
75 146.20 147.06
76 146.82 146.93
77 NaN NaN
78 NaN NaN
79 NaN NaN
80 NaN NaN
81 NaN NaN
82 NaN NaN
83 NaN NaN
84 NaN NaN
85 NaN NaN
86 NaN NaN
87 NaN NaN
88 NaN NaN
89 NaN NaN
90 NaN NaN
91 166.26 184.91
92 167.30 188.53
93 167.53 190.23
94 167.93 190.50
95 168.05 191.75
96 167.93 193.56
97 167.93 193.56
98 167.70 193.56
99 165.40 191.96
100 163.74 190.34
101 161.44 188.77
102 158.17 187.47
103 154.48 187.37
104 149.23 183.90
105 143.28 180.51
106 139.62 178.48
107 137.29 175.36
108 133.69 173.52
109 132.98 170.70
110 131.93 169.05
111 128.18 164.26
112 124.05 156.75
113 121.43 151.22
114 120.39 148.12
115 117.13 143.64
116 115.00 141.96
117 112.11 139.58
118 110.03 138.04
119 107.92 136.64
120 107.78 134.35
121 107.78 130.66
122 107.78 125.79
123 109.21 124.89
124 110.20 124.60
125 112.52 124.36
126 112.88 124.36
127 112.88 124.35
128 112.88 123.87
129 109.44 122.63
130 107.96 121.66
131 106.94 120.76
132 106.90 119.08
133 105.82 118.20
134 104.79 118.08
135 104.25 117.55
136 102.56 117.55
137 99.11 117.55
138 95.83 117.55
139 94.73 117.55
140 92.34 116.32
141 89.78 115.91
142 88.05 115.06
143 84.56 112.66
144 82.69 110.21
145 80.53 109.34
146 78.21 108.13
147 73.71 105.35
148 68.33 102.23
149 66.33 101.32
150 66.33 99.56
151 66.33 95.81
152 67.48 92.24
153 68.62 89.36
154 69.60 85.66
155 72.07 81.91
156 75.19 77.35
157 76.54 72.53
158 79.39 68.50
159 80.23 63.80
160 81.26 58.03
161 81.29 52.79
162 81.68 47.69
163 82.79 43.74
164 82.81 38.77
165 82.89 33.91
166 84.30 29.99
167 84.60 28.19
168 85.08 23.58
169 85.08 20.84
170 85.08 19.38
171 83.64 18.95
172 80.69 18.65
173 77.96 18.51
174 77.96 18.51
175 77.96 18.72
176 78.04 18.72
177 84.28 19.01
178 91.96 19.09
179 97.15 20.72
180 106.27 22.30
181 112.85 25.75
182 117.35 28.86
183 121.53 31.38
184 125.15 32.93
185 129.89 34.31
186 137.07 35.10
187 141.65 36.02
188 144.94 36.21
189 150.03 36.70
190 155.46 36.74
191 158.48 38.54
192 164.95 39.29
193 173.21 40.77
194 177.25 41.76
195 182.12 43.01
196 188.82 46.01
197 195.09 49.10
198 203.17 50.00
199 206.46 50.64
200 211.26 53.73
201 213.45 55.49
202 216.25 58.07
203 216.86 58.30
204 218.10 58.30
205 218.17 58.30
206 218.19 58.11
207 219.63 57.46
208 220.16 56.84
209 220.16 55.91
210 220.16 54.93
211 220.27 52.88
212 220.35 50.39
213 220.35 47.43
214 222.32 45.43
215 223.57 44.18
216 226.93 41.13
217 228.21 38.78
218 229.04 37.10
219 232.27 35.86
220 232.51 35.18
221 233.70 33.42
222 235.01 32.71
223 236.02 32.41
