FrameNum CenterX(mm) CenterY(mm) Areas
117 NaN NaN Floor
118 NaN NaN Floor
124 NaN NaN Floor
125 NaN NaN Floor
126 NaN NaN Floor
127 168.93 183.66 Floor
128 169.09 184.99 Floor
129 169.56 186.59 Floor
130 170.40 188.41 Floor
131 171.66 190.38 Floor
132 173.53 192.33 Floor
133 175.17 193.68 Floor
134 176.32 194.86 Floor
135 176.64 195.76 Floor
136 175.89 196.23 Floor
137 174.96 195.89 Floor
138 173.82 194.60 Floor
139 172.49 192.37 Floor
140 171.15 189.40 Floor
141 169.97 185.93 Floor
142 NaN NaN Floor
144 NaN NaN Floor
145 NaN NaN Floor
148 NaN NaN Floor
149 162.52 168.38 Floor
150 161.53 167.00 Floor
151 160.97 166.37 Floor
152 160.82 166.30 Floor
153 161.11 166.61 Floor
154 161.69 166.90 Floor
155 162.36 166.75 Floor
156 163.25 166.56 Floor
157 164.28 166.34 Floor
158 165.53 166.13 Floor
159 167.18 165.86 Floor
160 169.01 165.70 Floor
161 171.09 165.56 Floor
162 173.70 165.47 Floor
163 176.75 165.49 Floor
164 180.19 165.57 Floor
165 183.87 165.63 Floor
166 187.82 165.71 Floor
167 191.88 165.89 Floor
168 195.96 166.28 Floor
169 200.06 166.74 Floor
170 204.09 167.27 Floor
171 208.07 167.76 Floor
172 212.07 168.20 Floor
173 NaN NaN Floor
174 220.12 168.21 Floor
175 224.23 167.61 Floor
176 228.36 166.69 Floor
177 232.07 165.67 Floor
178 235.26 164.71 Floor
179 237.91 163.95 Floor
180 240.02 163.53 Floor
181 241.42 163.49 Floor
182 242.18 163.78 Floor
183 242.60 164.11 Floor
184 242.78 164.38 Floor
185 243.04 164.26 Floor
186 243.34 163.61 Floor
187 243.59 162.54 Floor
188 244.13 160.82 Floor
189 244.79 158.42 Floor
190 245.45 155.50 Floor
191 245.90 152.13 OBJA1
192 246.16 148.36 OBJA1
193 246.20 144.45 OBJA1
194 246.09 140.73 OBJA1
195 246.01 137.44 OBJA1
196 246.04 134.93 OBJA1
197 246.24 133.32 OBJA1
198 246.76 132.35 OBJA1
199 247.41 131.96 OBJA1
200 248.07 132.05 OBJA1
201 248.54 132.33 OBJA1
202 248.84 132.58 OBJA1
203 248.98 132.81 OBJA1
204 248.98 132.99 OBJA1
205 248.91 133.19 OBJA1
206 248.88 133.34 OBJA1
207 248.89 133.47 OBJA1
208 248.96 133.55 OBJA1
209 248.99 133.61 OBJA1
210 249.02 133.64 OBJA1
211 249.04 133.65 OBJA1
212 249.02 133.73 OBJA1
213 248.98 133.77 OBJA1
214 248.92 133.82 OBJA1
215 248.83 133.91 OBJA1
216 248.67 133.90 OBJA1
217 248.50 133.94 OBJA1
218 248.35 133.92 OBJA1
219 248.18 133.88 OBJA1
220 248.13 133.80 OBJA1
221 248.16 133.56 OBJA1
222 248.23 133.33 OBJA1
223 248.39 133.07 OBJA1
224 248.64 132.84 OBJA1
225 248.91 132.54 OBJA1
226 249.12 132.19 OBJA1
227 249.25 131.93 OBJA1
228 249.38 131.70 OBJA1
229 249.48 131.53 OBJA1
230 249.60 131.42 OBJA1
231 249.71 131.24 OBJA1
232 249.85 131.22 OBJA1
233 250.05 131.29 OBJA1
234 250.25 131.37 OBJA1
235 250.40 131.39 OBJA1
236 250.56 131.46 OBJA1
237 250.63 131.64 OBJA1
238 250.64 131.69 OBJA1
239 250.64 131.70 OBJA1
240 250.64 131.72 OBJA1
241 250.71 131.70 OBJA1
242 250.74 131.72 OBJA1
243 250.78 131.77 OBJA1
244 250.78 131.89 OBJA1
245 250.78 132.10 OBJA1
246 250.73 132.39 OBJA1
247 250.50 132.79 OBJA1
248 250.16 133.09 OBJA1
249 249.85 133.53 OBJA1
250 249.46 133.92 OBJA1
251 249.01 134.19 OBJA1
252 248.59 134.41 OBJA1
253 248.21 134.65 OBJA1
254 247.83 134.84 OBJA1
255 247.45 134.96 OBJA1
256 247.13 135.03 OBJA1
257 246.88 135.14 OBJA1
258 246.71 135.18 OBJA1
259 246.63 135.26 OBJA1
260 246.47 135.31 OBJA1
261 246.26 135.25 OBJA1
262 246.05 135.37 OBJA1
263 245.79 135.53 OBJA1
264 245.45 135.65 OBJA1
265 245.08 135.75 OBJA1
266 244.82 135.88 OBJA1
267 244.58 135.93 OBJA1
268 244.35 135.88 OBJA1
269 244.11 135.86 OBJA1
270 243.94 135.89 OBJA1
271 243.84 135.88 OBJA1
272 243.79 136.00 OBJA1
273 243.85 136.07 OBJA1
274 243.97 136.16 OBJA1
275 244.11 136.23 OBJA1
276 244.27 136.33 OBJA1
277 244.28 136.29 OBJA1
278 244.14 136.33 Floor
279 243.83 136.46 Floor
280 243.42 136.74 Floor
281 242.92 137.04 Floor
282 242.18 137.46 Floor
283 241.14 137.93 Floor
284 240.08 138.37 Floor
285 238.86 138.83 Floor
286 237.54 139.42 Floor
287 235.80 140.20 Floor
288 233.91 141.26 Floor
289 231.80 142.53 Floor
290 229.55 143.92 Floor
291 227.09 145.41 Floor
292 224.33 146.92 Floor
293 221.27 148.35 Floor
294 218.07 149.58 Floor
295 214.53 150.72 Floor
296 210.70 151.86 Floor
297 NaN NaN Floor
298 NaN NaN Floor
299 NaN NaN Floor
300 NaN NaN Floor
301 NaN NaN Floor
302 184.85 159.29 Floor
303 180.64 160.44 Floor
304 176.48 161.41 Floor
305 172.25 162.16 Floor
306 167.95 162.71 Floor
307 163.67 163.13 Floor
308 159.46 163.56 Floor
309 155.38 164.20 Floor
310 151.57 165.11 Floor
311 147.91 166.30 Floor
312 144.50 167.57 Floor
313 141.16 168.84 Floor
314 137.89 169.88 Floor
315 134.64 170.60 Floor
316 131.28 171.00 Floor
317 127.77 171.19 Floor
318 124.19 171.28 Floor
319 120.50 171.51 Floor
320 116.88 172.00 Floor
321 113.56 172.74 Floor
322 110.70 173.74 Floor
323 108.51 174.92 Floor
324 106.84 176.13 Floor
325 105.77 177.34 Floor
326 105.07 178.43 Floor
327 104.48 179.34 Floor
328 104.14 179.93 Floor
329 103.81 180.36 Floor
330 103.36 180.60 Floor
331 103.01 180.60 Floor
332 102.94 180.45 Floor
333 103.11 180.18 Floor
334 103.42 179.83 Floor
335 103.93 179.44 Floor
336 104.50 178.97 Floor
337 105.07 178.43 Floor
338 105.58 177.71 Floor
339 105.78 176.80 Floor
340 105.65 175.59 Floor
341 105.36 174.20 Floor
342 104.89 172.70 Floor
343 104.19 171.14 Floor
344 103.35 169.56 Floor
345 102.33 168.04 Floor
346 101.03 166.52 Floor
347 99.51 164.96 Floor
348 97.78 163.26 Floor
349 95.93 161.29 Floor
350 94.13 159.15 Floor
351 92.59 157.00 Floor
352 91.46 154.55 OBJA
353 90.93 151.79 OBJA
354 91.00 148.87 OBJA
355 91.52 145.97 OBJA
356 92.26 143.24 OBJA
357 92.99 140.89 OBJA
358 93.55 139.14 OBJA
359 93.80 137.96 OBJA
360 93.80 137.43 OBJA
361 93.63 137.46 OBJA
362 93.36 137.60 OBJA
363 93.12 137.75 OBJA
364 92.96 137.83 OBJA
365 92.88 137.85 OBJA
366 92.88 137.80 OBJA
367 92.88 137.79 OBJA
368 92.89 137.81 OBJA
