FrameNum CenterX(mm) CenterY(mm) Areas
60 NaN NaN Floor
61 NaN NaN Floor
62 NaN NaN Floor
63 NaN NaN Floor
64 NaN NaN Floor
65 180.22 193.83 Floor
66 180.50 194.17 Floor
67 180.69 194.54 Floor
68 180.76 194.89 Floor
69 180.61 195.18 Floor
70 180.63 195.86 Floor
71 180.49 196.27 Floor
72 180.05 196.00 Floor
73 179.29 194.82 Floor
74 178.04 192.48 Floor
75 NaN NaN Floor
76 NaN NaN Floor
78 NaN NaN Floor
81 NaN NaN Floor
82 165.93 169.10 Floor
83 164.55 166.92 Floor
84 163.72 165.94 Floor
85 163.25 165.91 Floor
86 163.07 166.36 Floor
87 162.91 166.85 Floor
88 162.52 166.75 Floor
89 162.14 166.54 Floor
90 161.81 166.25 Floor
91 161.45 165.93 Floor
92 161.08 165.65 Floor
93 160.72 165.35 Floor
94 160.30 165.12 Floor
95 159.73 164.86 Floor
96 159.21 164.56 Floor
97 158.70 164.24 Floor
98 158.20 163.90 Floor
99 157.64 163.54 Floor
100 157.17 163.19 Floor
101 156.65 162.86 Floor
102 155.98 162.55 Floor
103 155.21 162.19 Floor
104 154.19 161.86 Floor
105 NaN NaN Floor
106 151.38 161.05 Floor
107 149.84 160.56 Floor
108 148.31 160.08 Floor
109 146.81 159.64 Floor
110 145.41 159.22 Floor
111 143.92 158.74 Floor
112 142.31 158.22 OBJC
113 140.56 157.66 OBJC
114 NaN NaN OBJC
115 136.67 156.22 OBJC
116 NaN NaN OBJC
117 132.93 154.51 OBJC
118 131.50 153.81 OBJC
119 130.22 153.19 OBJC
120 129.06 152.64 OBJC
121 127.99 152.14 OBJC
122 126.92 151.60 OBJC
123 125.80 151.01 OBJC
124 124.74 150.31 OBJC
125 123.76 149.42 OBJC
126 123.08 148.51 OBJC
127 122.71 147.59 OBJC
128 122.66 146.65 OBJC
129 122.83 145.71 OBJC
130 123.24 144.83 OBJC
131 123.84 144.11 OBJC
132 124.48 143.38 OBJC
133 125.22 142.67 OBJC
134 125.99 142.12 OBJC
135 126.72 141.65 OBJC
136 127.36 141.48 OBJC
137 127.97 141.17 OBJC
138 128.49 140.81 OBJC
139 128.95 140.42 Floor
140 129.32 140.01 Floor
141 129.77 139.46 Floor
142 130.29 138.74 Floor
143 130.92 137.92 Floor
144 131.62 137.07 Floor
145 132.38 136.22 Floor
146 133.29 135.36 Floor
147 134.19 134.47 Floor
148 135.04 133.86 Floor
149 135.97 133.45 Floor
150 137.12 133.16 Floor
151 138.59 132.81 Floor
152 140.34 132.45 Floor
153 NaN NaN OBJG
154 NaN NaN OBJG
155 NaN NaN OBJG
156 NaN NaN OBJG
157 NaN NaN OBJG
158 154.47 127.72 OBJG
159 155.97 127.13 OBJG
160 157.07 126.65 OBJG
161 157.76 126.34 OBJG
162 158.28 125.99 OBJG
163 158.73 125.64 OBJG
164 159.34 125.17 OBJG
165 160.12 124.67 OBJG
166 160.96 124.21 OBJG
167 161.84 123.97 OBJG
168 162.59 123.89 OBJG
169 163.20 124.05 OBJG
170 163.67 124.39 OBJG
171 163.91 124.91 OBJG
172 164.29 125.40 OBJG
173 164.47 125.93 OBJG
174 164.60 126.40 OBJG
175 164.73 126.81 OBJG
176 164.52 127.20 OBJG
177 164.11 127.66 OBJG
178 163.36 128.14 OBJG
179 162.37 128.59 OBJG
180 161.56 128.96 OBJG
181 160.95 129.24 OBJG
182 160.87 129.39 OBJG
183 161.00 129.48 OBJG
184 161.44 129.47 OBJG
185 162.12 129.32 OBJG
186 162.70 129.10 OBJG
187 163.20 128.86 OBJG
188 163.42 128.64 OBJG
189 163.38 128.44 OBJG
190 163.46 128.19 OBJG
191 163.48 127.88 OBJG
192 163.45 127.62 OBJG
193 163.30 127.46 OBJG
194 163.25 127.14 OBJG
195 163.33 126.79 OBJG
196 163.31 126.53 OBJG
197 163.34 126.16 OBJG
198 163.34 125.83 OBJG
199 163.36 125.51 OBJG
200 163.39 125.13 OBJG
201 163.57 124.55 OBJG
202 163.70 123.99 OBJG
203 163.62 123.55 OBJG
204 163.56 123.04 OBJG
205 163.54 122.56 OBJG
206 NaN NaN OBJG
207 163.67 121.50 OBJG
208 NaN NaN OBJG
209 163.29 121.37 OBJG
210 163.01 121.53 OBJG
211 NaN NaN OBJG
212 162.25 122.20 OBJG
213 161.60 122.78 OBJG
214 160.89 123.34 OBJG
215 160.36 123.76 OBJG
216 159.84 124.13 OBJG
217 159.42 124.50 OBJG
218 159.09 124.90 OBJG
219 159.20 125.14 OBJG
220 159.29 125.41 OBJG
221 159.59 125.62 OBJG
222 159.99 125.75 OBJG
223 160.09 125.92 OBJG
224 159.89 126.15 OBJG
225 159.58 126.43 OBJG
226 NaN NaN OBJG
227 158.97 127.01 OBJG
228 NaN NaN OBJG
229 NaN NaN OBJG
230 NaN NaN OBJG
231 161.12 127.48 OBJG
232 161.96 127.67 OBJG
233 162.55 128.05 OBJG
234 163.07 128.52 OBJG
235 163.54 129.04 OBJG
236 163.97 129.54 OBJG
237 164.41 129.97 OBJG
238 164.94 130.36 OBJG
239 165.48 130.66 OBJG
240 165.82 130.92 OBJG
241 166.19 131.16 OBJG
242 166.50 131.44 OBJG
243 166.74 131.83 Floor
244 166.89 132.26 Floor
245 167.00 132.84 Floor
246 166.99 133.59 Floor
247 167.00 134.33 Floor
248 167.15 135.19 Floor
249 167.36 136.24 Floor
250 167.64 137.54 Floor
251 167.96 139.12 Floor
252 NaN NaN Floor
253 NaN NaN Floor
254 NaN NaN Floor
255 NaN NaN Floor
256 NaN NaN Floor
257 NaN NaN Floor
258 NaN NaN Floor
259 NaN NaN Floor
260 NaN NaN Floor
261 NaN NaN Floor
262 NaN NaN Floor
263 171.01 161.20 Floor
264 171.34 164.94 Floor
265 171.60 168.07 Floor
266 171.71 170.24 Floor
267 171.62 170.99 Floor
268 171.25 169.83 Floor
269 171.12 169.93 Floor
270 170.98 170.01 Floor
271 170.78 170.14 Floor
272 170.60 170.31 Floor
273 170.39 170.44 Floor
274 170.19 170.54 Floor
275 170.01 170.63 Floor
276 169.83 170.84 Floor
277 169.59 171.10 Floor
278 169.34 171.31 Floor
279 169.10 171.44 Floor
280 168.90 171.43 Floor
281 168.68 171.27 Floor
282 168.51 171.01 Floor
283 168.29 170.74 Floor
284 168.03 170.44 Floor
285 167.74 170.20 Floor
286 167.48 169.98 Floor
287 167.12 169.89 Floor
288 166.70 169.85 Floor
289 166.23 169.80 Floor
290 165.75 169.86 Floor
291 165.24 169.93 Floor
292 164.65 170.16 Floor
293 163.86 170.59 Floor
294 162.89 171.13 Floor
295 161.88 171.75 Floor
296 NaN NaN Floor
297 159.61 173.39 Floor
298 158.45 174.44 Floor
299 157.22 175.49 Floor
300 155.82 176.48 Floor
301 154.20 177.24 Floor
302 152.21 177.79 Floor
303 NaN NaN Floor
304 NaN NaN Floor
305 NaN NaN Floor
306 NaN NaN Floor
307 NaN NaN Floor
308 NaN NaN Floor
309 NaN NaN Floor
310 NaN NaN Floor
311 NaN NaN Floor
312 NaN NaN Floor
313 NaN NaN Floor
314 NaN NaN Floor
315 NaN NaN Floor
316 NaN NaN Floor
317 NaN NaN Floor
318 NaN NaN Floor
319 NaN NaN Floor
320 113.60 176.75 Floor
321 105.15 176.15 Floor
322 97.98 175.53 Floor
323 93.18 174.98 Floor
324 91.80 174.64 Floor
325 94.82 174.54 Floor
326 94.87 174.52 Floor
327 95.20 174.63 Floor
328 95.53 174.85 Floor
329 95.61 175.06 Floor
330 95.23 175.34 Floor
331 94.32 175.68 Floor
332 NaN NaN Floor
333 91.54 176.45 Floor
334 90.12 176.80 Floor
335 88.70 176.96 Floor
336 87.73 177.00 Floor
337 87.48 176.80 Floor
338 87.62 176.45 Floor
339 88.04 176.00 Floor
340 88.55 175.50 Floor
341 89.04 174.97 Floor
342 89.43 174.42 Floor
343 89.62 173.84 Floor
344 89.64 173.20 Floor
345 89.31 172.45 Floor
346 88.93 171.55 Floor
347 88.43 170.39 Floor
348 87.82 169.11 Floor
349 87.21 167.75 Floor
350 86.54 166.25 Floor
351 85.90 164.61 Floor
352 85.26 162.90 Floor
353 84.56 161.10 Floor
354 NaN NaN Floor
355 83.15 157.27 Floor
356 82.39 155.13 Floor
357 NaN NaN Floor
358 NaN NaN Floor
359 NaN NaN Floor
360 NaN NaN Floor
361 NaN NaN Floor
362 NaN NaN Floor
363 77.76 138.91 Floor
364 NaN NaN Floor
365 NaN NaN Floor
366 NaN NaN Floor
367 NaN NaN Floor
368 NaN NaN Floor
369 NaN NaN Floor
370 NaN NaN Floor
371 75.83 117.70 Floor
372 NaN NaN Floor
373 75.54 112.36 Floor
374 75.59 110.00 Floor
375 75.84 108.53 Floor
376 76.36 108.37 OBJC
377 77.05 108.09 OBJC
378 77.76 108.20 OBJC
379 78.52 108.35 OBJC
380 79.24 108.44 OBJC
381 79.85 108.39 OBJC
382 80.27 108.30 OBJC
383 80.36 108.15 OBJC
384 80.21 108.07 OBJC
385 79.92 108.08 OBJC
386 79.51 108.31 OBJC
387 79.18 108.68 OBJC
388 78.95 109.24 OBJC
389 79.03 109.71 OBJC
390 79.35 110.07 OBJC
391 79.67 110.38 OBJC
392 79.96 110.68 OBJC
393 80.15 110.90 OBJC
394 80.18 111.17 OBJC
395 80.03 111.39 OBJC
396 79.70 111.71 OBJC
397 79.40 111.99 OBJC
398 79.07 112.31 OBJC
399 78.79 112.55 OBJC
400 78.62 112.69 OBJC
401 78.59 112.78 OBJC
402 78.71 112.71 OBJC
403 78.96 112.49 OBJC
404 79.16 112.27 OBJC
405 79.44 111.98 OBJC
406 79.80 111.67 OBJC
407 80.24 111.28 OBJC
408 80.71 110.88 OBJC
409 81.27 110.43 OBJC
410 81.82 110.04 OBJC
411 82.13 109.75 OBJC
412 82.23 109.50 OBJC
413 82.27 109.27 OBJC
414 NaN NaN OBJC
415 82.33 108.76 OBJC
416 NaN NaN OBJC
417 82.68 108.00 OBJC
418 82.96 107.59 OBJC
419 83.31 107.15 OBJC
420 83.48 106.77 OBJC
421 83.32 106.48 OBJC
422 83.08 106.20 OBJC
423 82.97 105.78 OBJC
424 82.97 105.22 OBJC
425 83.15 104.50 OBJC
426 83.44 103.60 OBJC
427 83.86 102.52 Floor
428 84.55 101.25 Floor
429 85.55 99.77 Floor
430 86.81 98.10 Floor
431 NaN NaN Floor
432 NaN NaN Floor
433 NaN NaN Floor
434 NaN NaN Floor
435 NaN NaN Floor
436 NaN NaN Floor
437 NaN NaN Floor
438 NaN NaN Floor
439 NaN NaN Floor
440 NaN NaN Floor
441 NaN NaN Floor
442 NaN NaN Floor
443 NaN NaN Floor
444 NaN NaN Floor
445 NaN NaN Floor
446 NaN NaN Floor
447 NaN NaN Floor
448 NaN NaN Floor
449 NaN NaN Floor
450 NaN NaN Floor
451 NaN NaN Floor
452 NaN NaN Floor
453 NaN NaN Floor
454 NaN NaN Floor
455 NaN NaN Floor
456 122.58 61.77 Floor
457 131.49 53.14 Floor
458 139.04 46.00 Floor
459 144.25 41.35 Floor
460 146.18 40.22 Floor
461 143.69 43.65 Floor
462 144.87 43.53 Floor
463 146.37 43.31 Floor
464 148.19 43.01 Floor
465 150.34 42.66 Floor
466 NaN NaN Floor
467 NaN NaN Floor
468 NaN NaN Floor
469 NaN NaN Floor
470 NaN NaN Floor
471 NaN NaN Floor
472 NaN NaN Floor
473 NaN NaN Floor
474 NaN NaN Floor
475 NaN NaN Floor
476 NaN NaN Floor
477 NaN NaN Floor
478 NaN NaN Floor
479 NaN NaN Floor
480 NaN NaN Floor
481 NaN NaN Floor
482 NaN NaN Floor
483 NaN NaN Floor
484 NaN NaN Floor
485 NaN NaN Floor
486 NaN NaN Floor
487 NaN NaN Floor
488 196.05 35.15 Floor
489 207.37 33.76 Floor
490 NaN NaN Floor
491 224.27 32.22 Floor
492 226.77 32.38 Floor
493 223.65 33.37 Floor
494 224.21 33.48 Floor
495 224.14 33.48 Floor
496 223.68 33.40 Floor
497 223.07 33.32 Floor
498 222.50 33.25 Floor
499 222.09 33.13 Floor
500 221.85 32.94 Floor
501 221.79 32.75 Floor
502 221.67 32.54 Floor
503 221.88 32.34 Floor
504 222.10 32.13 Floor
505 222.56 31.91 Floor
506 223.05 31.66 Floor
507 223.53 31.49 Floor
508 224.14 31.34 Floor
509 224.60 31.30 Floor
510 225.10 31.30 Floor
511 225.53 31.40 Floor
512 225.69 31.59 Floor
513 225.65 31.87 Floor
514 225.43 32.10 Floor
515 224.93 32.41 Floor
516 224.32 32.69 Floor
517 223.68 33.02 Floor
518 223.19 33.41 Floor
519 222.63 33.82 Floor
520 222.39 34.08 Floor
521 222.29 34.19 Floor
522 222.26 34.18 Floor
523 222.24 34.08 Floor
524 222.13 33.87 Floor
525 221.72 33.82 Floor
526 221.33 33.91 Floor
527 220.80 34.17 Floor
528 220.20 34.71 Floor
529 219.58 35.54 Floor
530 219.15 36.49 Floor
531 218.94 37.52 Floor
532 219.00 38.69 Floor
533 219.27 39.94 Floor
534 219.68 41.20 Floor
535 220.20 42.59 Floor
536 220.80 44.04 Floor
537 221.37 45.50 Floor
538 221.94 47.11 Floor
539 222.50 48.93 Floor
540 223.07 50.83 OBJG
541 NaN NaN OBJG
542 NaN NaN OBJG
543 NaN NaN OBJG
544 NaN NaN OBJG
545 226.03 61.00 OBJG
546 226.46 62.33 OBJG
547 226.76 63.34 OBJG
548 226.91 64.11 OBJG
549 226.90 64.60 OBJG
550 226.78 65.01 OBJG
551 226.61 65.41 OBJG
552 226.43 65.69 OBJG
553 226.19 65.92 OBJG
554 225.94 66.27 OBJG
555 225.70 66.65 OBJG
556 225.46 67.10 OBJG
557 225.13 67.63 OBJG
558 224.81 68.12 OBJG
559 224.49 68.72 OBJG
560 224.32 69.16 OBJG
561 224.22 69.51 OBJG
562 224.18 69.80 OBJG
563 224.08 70.09 OBJG
564 224.00 70.50 OBJG
565 223.80 70.99 OBJG
566 223.48 71.55 OBJG
567 223.10 72.05 OBJG
568 222.77 72.43 OBJG
569 222.68 72.81 OBJG
570 NaN NaN OBJG
571 222.82 73.01 OBJG
572 222.80 73.06 OBJG
573 222.69 72.96 OBJG
574 222.30 72.87 OBJG
575 221.65 72.83 OBJG
576 221.11 72.56 OBJG
577 220.67 72.16 OBJG
578 220.34 71.68 OBJG
579 220.15 71.28 OBJG
580 219.84 71.08 OBJG
581 NaN NaN OBJG
582 218.89 71.26 OBJG
583 218.44 71.48 OBJG
584 217.80 71.92 OBJG
585 217.27 72.29 OBJG
586 217.00 72.44 OBJG
587 216.80 72.55 OBJG
588 216.64 72.56 OBJG
589 216.36 72.67 OBJG
590 216.07 72.79 OBJG
591 215.67 73.04 OBJG
592 215.24 73.35 OBJG
593 214.77 73.67 OBJG
594 214.26 74.08 OBJG
595 213.79 74.42 OBJG
596 213.31 74.81 OBJG
597 212.90 75.16 OBJG
598 212.57 75.48 OBJG
599 212.26 75.79 OBJG
600 212.08 75.95 OBJG
601 211.90 76.03 OBJG
602 211.89 75.81 OBJG
603 212.03 75.31 OBJG
604 212.54 74.41 OBJG
605 213.19 73.38 OBJG
606 213.92 72.34 OBJG
607 214.72 71.33 OBJG
608 215.47 70.58 OBJG
609 216.15 70.07 OBJG
610 216.72 69.79 OBJG
611 217.14 69.67 OBJG
612 217.50 69.62 OBJG
613 217.80 69.58 OBJG
614 218.19 69.40 OBJG
615 218.45 69.43 OBJG
616 218.69 69.45 OBJG
617 218.95 69.53 OBJG
618 219.21 69.70 OBJG
619 219.62 69.86 OBJG
620 219.96 70.14 OBJG
621 220.33 70.46 OBJG
622 220.60 70.87 OBJG
623 220.77 71.23 OBJG
624 220.88 71.68 OBJG
625 220.98 71.89 OBJG
626 221.13 72.05 OBJG
627 221.38 72.19 OBJG
628 221.67 72.15 OBJG
629 222.15 72.05 OBJG
630 222.65 71.98 OBJG
631 223.25 71.95 OBJG
632 223.79 71.96 OBJG
633 224.25 71.95 OBJG
634 224.70 72.13 OBJG
635 225.13 72.24 OBJG
636 225.54 72.56 OBJG
637 225.94 72.87 OBJG
638 226.27 72.98 OBJG
