FrameNum CenterX(mm) CenterY(mm) Areas
215 NaN NaN Floor
216 NaN NaN Floor
217 NaN NaN Floor
218 NaN NaN Floor
219 NaN NaN Floor
220 NaN NaN Floor
221 NaN NaN Floor
222 NaN NaN Floor
223 NaN NaN Floor
224 NaN NaN Floor
226 NaN NaN Floor
229 NaN NaN Floor
230 NaN NaN Floor
231 NaN NaN Floor
232 NaN NaN Floor
234 NaN NaN Floor
235 234.30 197.28 Floor
236 233.10 197.65 Floor
237 231.56 198.13 Floor
238 229.70 198.69 Floor
239 231.21 201.40 Floor
240 232.72 203.27 Floor
241 229.10 199.41 Floor
242 221.11 191.81 Floor
243 210.19 181.40 Floor
244 NaN NaN Floor
245 184.83 157.49 Floor
246 172.97 147.31 Floor
247 163.69 140.54 Floor
248 158.71 138.61 Floor
249 160.33 142.70 Floor
250 162.89 148.51 Floor
251 NaN NaN Floor
252 NaN NaN Floor
253 NaN NaN Floor
254 163.86 164.15 Floor
255 164.22 166.48 Floor
256 164.57 167.88 Floor
257 165.13 168.71 Floor
258 165.91 169.12 Floor
259 166.93 169.39 Floor
260 168.15 169.85 Floor
261 169.48 170.22 Floor
262 170.79 170.64 Floor
263 172.02 171.11 Floor
264 173.12 171.70 Floor
265 174.12 172.34 Floor
266 175.14 172.97 Floor
267 176.68 173.65 Floor
268 178.72 174.12 Floor
269 181.30 174.26 Floor
270 184.28 174.08 Floor
271 187.65 173.62 Floor
272 191.21 172.91 Floor
273 194.74 172.12 Floor
274 198.53 171.38 Floor
275 201.83 170.80 Floor
276 204.94 170.34 Floor
277 207.91 170.02 Floor
278 210.77 169.76 Floor
279 213.64 169.46 Floor
280 216.53 169.06 Floor
281 219.50 168.58 Floor
282 222.35 167.87 Floor
283 225.26 166.72 Floor
284 228.26 165.25 Floor
285 230.84 163.49 Floor
286 233.31 161.56 Floor
287 235.62 159.59 Floor
288 237.90 157.70 Floor
289 240.08 156.02 Floor
290 242.10 154.60 Floor
291 243.91 153.56 Floor
292 245.57 152.61 Floor
293 247.07 151.61 OBJR1
294 248.02 150.41 OBJR1
295 248.40 148.92 OBJR1
296 248.11 147.16 OBJR1
297 247.40 145.28 OBJR1
298 246.37 143.43 OBJR1
299 245.18 141.88 OBJR1
300 244.12 140.71 OBJR1
301 243.57 139.99 OBJR1
302 243.62 139.55 OBJR1
303 244.10 139.35 OBJR1
304 244.70 139.20 OBJR1
305 245.27 139.08 OBJR1
306 245.66 138.87 OBJR1
307 245.97 138.78 OBJR1
308 246.01 138.68 OBJR1
309 245.86 138.57 OBJR1
310 245.54 138.42 OBJR1
311 245.14 138.07 OBJR1
312 244.62 137.48 OBJR1
313 244.11 136.80 OBJR1
314 243.62 136.17 OBJR1
315 243.17 135.46 OBJR1
316 242.73 134.73 OBJR1
317 242.35 134.12 OBJR1
318 241.91 133.48 OBJR1
319 241.53 132.91 OBJR1
320 241.26 132.48 OBJR1
321 241.07 132.02 OBJR1
322 240.95 131.58 OBJR1
323 240.93 131.23 OBJR1
324 240.99 131.03 OBJR1
325 241.14 130.93 OBJR1
326 241.31 130.82 OBJR1
327 241.54 130.80 OBJR1
328 241.69 130.68 OBJR1
329 241.85 130.65 OBJR1
330 242.02 130.70 OBJR1
331 242.14 130.72 OBJR1
332 242.21 130.73 OBJR1
333 242.25 130.73 OBJR1
334 242.29 130.70 OBJR1
335 242.42 130.68 OBJR1
336 242.53 130.56 OBJR1
337 242.74 130.46 OBJR1
338 242.96 130.25 OBJR1
339 243.23 130.03 OBJR1
340 243.55 129.77 OBJR1
341 243.85 129.50 OBJR1
342 244.12 129.32 OBJR1
343 244.36 129.18 OBJR1
344 244.55 128.99 OBJR1
345 244.77 128.81 OBJR1
346 244.89 128.61 OBJR1
347 244.98 128.38 OBJR1
348 245.03 128.20 OBJR1
349 245.03 128.04 OBJR1
350 245.05 127.84 OBJR1
351 245.06 127.66 OBJR1
352 245.02 127.57 OBJR1
353 245.01 127.50 OBJR1
354 245.09 127.45 OBJR1
355 245.21 127.45 OBJR1
356 245.33 127.46 OBJR1
357 245.50 127.43 OBJR1
358 245.68 127.50 OBJR1
359 245.85 127.60 OBJR1
360 246.00 127.64 OBJR1
361 246.15 127.66 OBJR1
362 246.21 127.65 OBJR1
363 246.31 127.60 OBJR1
364 246.36 127.47 OBJR1
365 246.49 127.45 OBJR1
366 246.71 127.55 OBJR1
367 247.07 127.79 OBJR1
368 247.52 128.27 OBJR1
369 247.87 128.78 OBJR1
370 248.24 129.39 OBJR1
371 248.46 129.97 OBJR1
372 248.53 130.47 OBJR1
373 248.49 130.91 OBJR1
374 248.38 131.29 OBJR1
375 248.30 131.83 OBJR1
376 248.20 132.30 OBJR1
377 248.08 132.68 OBJR1
378 248.03 133.01 OBJR1
379 247.89 133.09 OBJR1
380 247.84 133.06 OBJR1
381 247.68 132.83 OBJR1
382 247.64 132.72 OBJR1
383 247.72 132.76 OBJR1
384 248.03 132.96 OBJR1
385 248.40 133.31 OBJR1
386 248.82 133.63 OBJR1
387 249.30 133.87 OBJR1
388 249.87 133.93 OBJR1
389 250.34 133.56 OBJR1
390 250.84 132.80 OBJR1
391 251.31 131.65 OBJR1
392 251.84 130.31 Floor
393 252.41 128.57 Floor
394 253.07 126.33 Floor
395 253.72 123.61 Floor
396 254.34 120.45 Floor
397 NaN NaN Floor
398 255.29 112.81 Floor
399 NaN NaN Floor
400 NaN NaN Floor
401 NaN NaN Floor
402 256.63 95.16 Floor
403 NaN NaN Floor
404 257.77 86.48 Floor
405 NaN NaN Floor
406 NaN NaN Floor
407 258.10 74.06 Floor
408 257.65 70.30 Floor
409 257.13 66.88 Floor
410 256.73 63.82 Floor
411 256.47 61.08 Floor
412 256.49 58.77 Floor
413 256.85 56.84 Floor
414 257.43 55.26 Floor
415 258.08 53.85 Floor
416 258.77 52.68 Floor
417 259.41 51.70 Floor
418 259.84 50.89 Floor
419 260.14 50.29 Floor
420 260.25 49.78 Floor
421 260.18 49.35 Floor
422 260.03 49.16 Floor
423 259.82 49.06 Floor
424 259.65 48.96 Floor
425 259.57 48.79 Floor
426 259.58 48.60 Floor
427 259.59 48.42 Floor
428 259.64 48.10 Floor
429 259.75 47.75 Floor
430 259.84 47.36 Floor
431 259.96 46.99 Floor
432 260.06 46.74 Floor
433 260.13 46.48 Floor
434 260.11 46.43 Floor
435 260.07 46.57 Floor
436 259.89 46.91 Floor
437 259.58 47.31 Floor
438 259.13 47.74 Floor
439 258.42 48.19 Floor
440 257.41 48.54 Floor
441 256.17 48.78 Floor
442 254.64 48.80 Floor
443 252.87 48.52 Floor
444 250.98 48.08 Floor
445 248.87 47.30 Floor
446 246.62 46.21 Floor
447 244.31 44.79 Floor
448 242.02 43.25 Floor
449 239.56 41.51 Floor
450 237.10 39.71 Floor
451 234.54 37.88 Floor
452 231.86 36.13 Floor
453 229.13 34.64 Floor
454 226.45 33.49 Floor
455 223.53 32.69 Floor
456 220.49 32.31 Floor
457 217.41 32.30 Floor
458 214.34 32.59 Floor
459 211.33 32.89 Floor
460 208.30 33.21 Floor
461 204.94 33.40 Floor
462 201.26 33.54 Floor
463 197.20 33.69 Floor
464 NaN NaN Floor
465 NaN NaN Floor
466 NaN NaN Floor
467 NaN NaN Floor
468 NaN NaN Floor
469 NaN NaN Floor
470 NaN NaN Floor
471 NaN NaN Floor
472 NaN NaN Floor
473 NaN NaN Floor
474 NaN NaN Floor
475 NaN NaN Floor
476 NaN NaN Floor
477 NaN NaN Floor
478 138.05 37.97 Floor
479 125.65 39.31 Floor
480 114.71 40.65 Floor
481 106.73 41.77 Floor
482 103.34 42.46 Floor
483 105.99 42.47 Floor
484 104.94 42.37 Floor
485 104.30 42.03 Floor
486 103.69 41.51 Floor
487 103.02 40.86 Floor
488 102.21 40.23 Floor
489 101.28 39.71 Floor
490 100.35 39.38 Floor
491 99.57 39.18 Floor
492 99.06 39.07 Floor
493 98.74 39.01 Floor
494 98.56 38.98 Floor
495 98.51 38.93 Floor
496 98.26 38.80 Floor
497 97.91 38.56 Floor
498 97.51 38.32 Floor
499 97.11 38.06 Floor
500 96.70 37.86 Floor
501 96.37 37.68 Floor
502 96.20 37.55 Floor
503 96.21 37.61 Floor
504 96.44 37.85 Floor
505 96.85 38.32 Floor
506 97.23 39.02 Floor
507 97.72 39.88 Floor
508 98.25 40.95 Floor
509 98.76 42.17 Floor
510 99.11 43.66 Floor
511 99.26 45.18 Floor
512 99.16 46.83 Floor
513 98.83 48.49 Floor
514 98.26 50.24 Floor
515 97.45 52.00 Floor
516 96.35 53.70 Floor
517 95.06 55.18 Floor
518 93.67 56.73 Floor
519 92.28 58.56 Floor
520 90.91 60.60 Floor
521 89.77 62.58 Floor
522 89.03 64.95 Floor
523 88.76 67.40 Floor
524 88.85 70.02 Floor
525 89.19 72.67 Floor
526 89.58 75.34 Floor
527 89.91 78.03 Floor
528 90.06 80.92 Floor
529 89.83 84.05 Floor
530 89.14 87.22 Floor
531 88.15 90.40 Floor
532 87.03 93.93 Floor
533 85.82 97.54 Floor
534 84.66 101.21 Floor
535 83.71 104.94 Floor
536 83.09 108.77 Floor
537 82.89 112.78 Floor
538 83.11 116.71 Floor
539 83.54 120.66 Floor
540 NaN NaN Floor
541 84.40 128.53 Floor
542 84.53 132.29 Floor
543 84.36 135.97 Floor
544 83.92 139.66 Floor
545 83.42 143.20 Floor
546 83.02 146.56 Floor
547 82.93 149.93 Floor
548 83.19 153.02 Floor
549 83.80 156.05 Floor
550 84.65 158.87 Floor
551 85.45 161.32 Floor
552 86.08 163.33 Floor
